Time,Series 1,Series 2,Series 3
23/10/2013,56.0132,0.2215,6.4486
26/10/2013,57.1378,0.2155,6.5399
27/10/2013,57.347,0.2311,6.665
28/10/2013,57.408,0.2365,6.7087
29/10/2013,57.9224,0.2414,6.8032
30/10/2013,59.6834,0.2335,6.9533
2/11/2013,58.7506,0.2101,6.691
3/11/2013,59.0034,0.2175,6.7668
4/11/2013,58.7157,0.2182,6.7381
5/11/2013,57.5388,0.2469,6.7966
6/11/2013,57.1552,0.2496,6.7708
9/11/2013,57.9834,0.2544,6.9036
10/11/2013,57.6521,0.2703,6.9833
11/11/2013,58.8029,0.2724,7.1393
12/11/2013,58.986,0.2619,7.0798
13/11/2013,58.8814,0.2686,7.119
16/11/2013,58.306,0.2712,7.07
17/11/2013,58.2188,0.2698,7.048
18/11/2013,58.2886,0.2719,7.0734
20/11/2013,58.5588,0.2719,7.1056
23/11/2013,58.1316,0.2748,7.0762
24/11/2013,58.9424,0.2893,7.2916
25/11/2013,58.1142,0.2881,7.1799
26/11/2013,57.3645,0.2921,7.119
27/11/2013,59.1865,0.3117,7.5101
30/11/2013,58.4106,0.2956,7.2775
1/12/2013,57.5039,0.2994,7.1951
2/12/2013,57.068,0.3003,7.1479
3/12/2013,57.1988,0.3108,7.2504
4/12/2013,55.8562,0.3258,7.2025
7/12/2013,56.0306,0.3221,7.1947
8/12/2013,57.626,0.3123,7.3167
9/12/2013,58.8727,0.2899,7.2885
10/12/2013,57.7829,0.2761,7.0443
11/12/2013,56.1439,0.3139,7.1423
14/12/2013,57.1378,0.3035,7.1826
15/12/2013,57.2598,0.3118,7.2665
16/12/2013,58.1752,0.3061,7.3351
17/12/2013,58.0619,0.2987,7.2596
21/12/2013,57.8701,0.338,7.5675
22/12/2013,58.4716,0.3352,7.6214
23/12/2013,58.0532,0.3451,7.6541
24/12/2013,57.565,0.3513,7.6436
28/12/2013,55.836,0.3718,7.5909
29/12/2013,55.9325,0.3592,7.4951
30/12/2013,55.1251,0.369,7.4702
31/12/2013,52.8959,0.3827,7.2819
1/1/2014,51.711,0.3632,6.9614
4/1/2014,51.6321,0.3927,7.1897
5/1/2014,51.7462,0.5146,8.2468
6/1/2014,50.3244,0.5329,8.1773
7/1/2014,51.0791,0.513,8.1272
8/1/2014,50.0611,0.5247,8.0645
12/1/2014,50.0347,0.5181,8.0042
13/01/2014,48.7183,0.5345,7.9302
14/01/2014,48.4901,0.5564,8.0744
15/01/2014,49.9821,0.5393,8.1766
18/01/2014,48.8499,0.5406,8.0024
19/01/2014,50.0962,0.5191,8.0226
20/01/2014,50.0611,0.5175,8.0029
21/01/2014,50.2717,0.555,8.3593
22/01/2014,52.2201,0.5351,8.5049
25/01/2014,51.6584,0.52,8.2808
26/01/2014,50.0523,0.5346,8.1479
27/01/2014,50.3858,0.5133,8.0192
28/01/2014,51.2547,0.5114,8.1415
29/01/2014,50.6842,0.5132,8.0663
1/2/2014,49.6223,0.5233,7.9824
2/2/2014,49.3238,0.5199,7.9054
3/2/2014,48.727,0.5257,7.8579
4/2/2014,46.5768,0.546,7.6733
5/2/2014,50.456,0.4633,7.606
9/2/2014,51.2108,0.3315,6.6472
10/2/2014,51.5794,0.3434,6.787
11/2/2014,50.7369,0.3484,6.7144
12/2/2014,50.7456,0.341,6.6592
15/02/2014,51.4039,0.3377,6.7198
16/02/2014,49.2536,0.3509,6.5371
17/02/2014,49.2712,0.2967,6.1467
18/02/2014,50.0347,0.2943,6.2246
19/02/2014,50.4999,0.2889,6.245
22/02/2014,49.4116,0.2965,6.1625
23/02/2014,51.9568,0.2678,6.2765
24/02/2014,52.4483,0.1825,5.8325
25/02/2014,52.6238,0.1864,5.8704
26/02/2014,52.7028,0.1884,5.8886
